dataset,size,implementation,dims,k,resolution,tables,time,purity,classpurity,clusters,ari,ri,avgsilh,seed
3k,2700,scanpy,20,30,0.1,40,0.985421099,,,1,,,0.2656702135170167,3
3k,2700,scanpy,20,30,0.1,40,0.945792879,,,1,,,0.2656702135170167,4
3k,2700,scanpy,20,30,0.2,40,1.0333406,,,4,,,0.24569989413523857,0
3k,2700,scanpy,20,30,0.2,40,0.940914113,,,1,,,0.24984116194249914,1
3k,2700,scanpy,20,30,0.2,40,1.009791965,,,1,,,0.26193297170958235,2
3k,2700,scanpy,20,30,0.2,40,0.99116965,,,1,,,0.28838246056914485,3
3k,2700,scanpy,20,30,0.2,40,0.958256787,,,1,,,0.24946577627493385,4
3k,2700,scanpy,20,30,0.3,40,1.036214959,,,4,,,0.25255932562404515,0
3k,2700,scanpy,20,30,0.3,40,0.990319674,,,1,,,0.2502769658724442,1
3k,2700,scanpy,20,30,0.3,40,1.00047409,,,1,,,0.2574250304650046,2
